id,name,periodstart,periodend,type
vivaconagua,VivaConAgua,2020,2022,1
toom,TOOM,2021,2022,1
jever,Jever,2020,2022,1
berentzen,Berentzen,,2022,1
ewe,EWE AG,2020,2022,1
tomorrow,Tomorrow,,2022,1
aboutyou,AboutYou,2020,2022,1
tafel,Tafel Deutschland,,2022,1
vaay,Vaay,2021,2022,1
stpauli,FC St. Pauli,,2022,1
nordpool,Nordpool,,2022,1
ndr,NDR,,2022,1
greenlife,GreenLife,,2022,1
fynn,Fynn Kliemann,,,3
agantty,Agantty GmbH,2015,,2
fkvv,FKVV GmbH,2020,,2
floss,Floss weg hier 111 GmbH,2020,,2
oderso,O.D.E.R.S.O. Gmbh,2020,,2
texas,T.E.X.A.S. Holding GmbH,2020,,2
twofingers,twoFingers Records GmbH,2018,,2
kliemannsland,Kliemannsland GmbH,2015,,2
herrlich,Herrlich Media GmbH,2011,,2
ldgg,LDGG Immobilien GmbH,2020,,2
bottmann,Florian Bottman,,,3
tietjen,Niklas Tietjen,,,3
schaefer,Tim Schaefer,,,3
frank,Sigurd Frank,,,3
junker,Sven Junker,,,3
erdbeerhof,Karls Erdbeerhof,2020,,1
karlsinvestions,Karls Investions GmbH,2020,,1
dahl,Robert Dahl,,,3
globaltactics,Global Tactics,2017,,1
illbruck,Tom Illbruck,,,3
daur,Caro Daur,,,3
joko,Joko Winterscheidt,,,3
imueller,Ina Mueller,,,3
westermeyer,Philipp Westermeyer,,,3
kantereit,Severin Kantereit,,,3
seidel,Reinhold Seidel,,,3
haßfeld,René Haßfeld,,,3
reitze,Michael Reitze,,,3
schwegmann,Oliver Schwegmann,,,3
dohler,Stefan Dohler,,,3
nureldin,Inas Nureldin,,,3
schweikart,Michael Schweikart,,,3
berndt,Jakob Berndt,,,3
betz,Sebastian Betz,,,3
tmueller,Tarek Mueller,,,3
wiese,Hannes Wiese,,,3
bruehl,Jochen Bruehl,,,3
bornemann,Andreas Bornemann,,,3
geldern,Bernd von Geldern,,,3
drust,Martin Drust,,,3
michael,Thomas Michael,,,3
urban,Martin Urban,,,3
kunze,Anne Kunze,,,3
darell,Tom Darell,,,3
rasmussen,Niels Rasmussen,,,3
klein,Sabine Klein,,,3
neumann,Friedhelm Neumann,,,3
witte,Jan Witte,,,3
haensel,Finn Haensel,,,3
schokowinterscheidt,Schoko Winterscheidt GmbH,,,1
funk,Funk,2016,2020,1
sanitycare,Sanity Care,2021,2022,1
